CL,CH4,OH,CH3O2,HO2,NO,NO2,NO3,CH3OOH,HCHO,CH3NO3,CH3O,CH3O2NO2,CH3OH,O,O1D,O3,N2O5,H2,CO,H2O2,HO2NO2,HONO,HNO3,SO2,HSO3,SO3
0.0,0.0,124.0,90.0,184.0,20.0,151.5,55.5,36.0,52.0,18.0,8.0,0.0,57.0,0.0,30.0,0.0,0.0,0.0,0.0,11.0,0.0,6.0,0.0,32.0,0.0,0.0
0.0,0.0,124.0,90.0,184.0,20.0,151.5,55.5,36.0,52.0,18.0,8.0,0.0,57.0,0.0,30.0,0.0,0.0,0.0,0.0,11.0,0.0,6.0,0.0,32.0,0.0,0.0
0.0,0.0,124.0,90.0,184.0,20.0,151.5,55.5,36.0,52.0,18.0,8.0,0.0,57.0,0.0,30.0,0.0,0.0,0.0,0.0,11.0,0.0,6.0,0.0,32.0,0.0,0.0
0.0,0.0,124.0,90.0,184.0,20.0,151.5,55.5,36.0,52.0,18.0,8.0,0.0,57.0,0.0,30.0,0.0,0.0,0.0,0.0,11.0,0.0,6.0,0.0,32.0,0.0,0.0
0.0,0.0,124.0,90.0,184.0,20.0,151.5,55.5,36.0,52.0,18.0,8.0,0.0,57.0,0.0,30.0,0.0,0.0,0.0,0.0,11.0,0.0,6.0,0.0,32.0,0.0,0.0
0.0,0.0,124.0,90.0,184.0,20.0,151.5,55.5,36.0,52.0,18.0,8.0,0.0,57.0,0.0,30.0,0.0,0.0,0.0,0.0,11.0,0.0,6.0,0.0,32.0,0.0,0.0
0.0,0.0,124.0,90.0,184.0,20.0,151.5,55.5,36.0,52.0,18.0,8.0,0.0,57.0,0.0,30.0,0.0,0.0,0.0,0.0,11.0,0.0,6.0,0.0,32.0,0.0,0.0
0.0,0.0,124.0,90.0,184.0,20.0,151.5,55.5,36.0,52.0,18.0,8.0,0.0,57.0,0.0,30.0,0.0,0.0,0.0,0.0,11.0,0.0,6.0,0.0,32.0,0.0,0.0
0.0,0.0,124.0,90.0,184.0,20.0,151.5,55.5,36.0,52.0,18.0,8.0,0.0,57.0,0.0,30.0,0.0,0.0,0.0,0.0,11.0,0.0,6.0,0.0,32.0,0.0,0.0
0.0,0.0,124.0,90.0,184.0,20.0,151.5,55.5,36.0,52.0,18.0,8.0,0.0,57.0,0.0,30.0,0.0,0.0,0.0,0.0,11.0,0.0,6.0,0.0,32.0,0.0,0.0
