,Unnamed: 0,Flux,FluxIn,FluxOut,Closeness,EigenCentrality,PageRank,Betweenness,Authorities,Hubs,labels,x,y
0,C4PAN1,5.70767233749e-05,5.81849064122e-05,5.58862001774e-05,0.923131137989,3.26276487271e-22,0.0116764782043,0.0,3.45688077936e-18,0.0,43,0.0718004107475,0.0225909557194
1,C4PAN2,3.27969029476e-05,3.20936763102e-05,3.35523806951e-05,0.941643059595,0.0,0.0100867274064,0.0,1.19913789996e-18,0.0,111,0.0374662056565,0.0150737827644
2,C4PAN3,4.59110735132e-05,4.67443050119e-05,4.50159312896e-05,0.925297609825,0.0,0.0121335095779,0.0,1.70033380558e-17,3.19229707151e-18,77,0.0472204461694,0.0219519026577
3,C4PAN5,5.39060397548e-05,5.23679657065e-05,5.55583957037e-05,0.891713247656,1.83786233044e-21,0.00865232970188,0.0,3.45688077936e-18,1.32438499709e-18,44,0.0520173124969,0.0359526537359
4,C4PAN6,0.00504252500412,0.00533346234174,0.0047299704551,0.220441255593,0.0,0.0098104717853,0.0,3.84482505467e-10,1.84868942659e-15,78,0.0309321880341,0.0284196473658
5,ETHENO3O,4.47368389069e-05,5.75860341403e-05,3.09329234163e-05,0.949207020549,1.08486184324e-21,0.0106081787077,0.0,2.9542347968e-18,2.00912466694e-15,45,0.0657131150365,0.0376466475427
6,BUTALO2,0.00016951717773,0.000123947547694,0.000218472720121,0.96900029591,2.35600086239e-21,0.00892177102934,0.193701940681,7.23659051696e-14,2.41310827099e-15,46,0.0422279722989,0.00861159432679
7,HO1CO3CHO,5.25578082939e-05,2.92451658543e-05,7.76026255179e-05,0.974020169282,9.23034555643e-22,0.0090408519464,0.0238008055657,6.96491917386e-19,2.71786217686e-10,0,0.0609593316913,0.0424993112683
8,NC3OO,3.50680248452e-05,3.38589414377e-05,3.63669455071e-05,0.938564409182,9.88479890564e-22,0.00741555358709,0.00476016111315,6.17933640044e-14,2.56072419645e-17,11,0.0447509363294,0.0427563674748
9,CHOPRNO3,8.95196931187e-05,5.765425112e-05,0.000123752799584,0.982252564589,0.0,0.0157775607542,0.0655437568656,1.49394411112e-17,2.49289395855e-10,2,0.0270103346556,0.0230611674488
10,HO1C3O,7.70002100476e-05,8.83544811828e-05,6.48022944303e-05,0.946329019575,0.0,0.0256072481091,0.00768949102893,2.39827579991e-18,2.98010061661e-15,21,0.027222501114,0.0202884748578
11,CHOCOHCO,4.47365599976e-05,2.87929930162e-05,6.18647650899e-05,0.980843569125,1.34343259479e-19,0.00989713184356,0.0040278286342,5.2119776762e-18,2.19625144723e-10,113,0.0490480028093,0.0322742536664
12,C524CO,8.05435700271e-05,9.78441054476e-05,6.1957571095e-05,0.964807746967,3.53663512366e-23,0.00679364363334,0.00915415598682,2.39827579991e-18,5.21348443114e-07,13,0.0486406125128,-0.0084605095908
13,ISOPDOOH,0.00223704164589,0.00210575346776,0.00237808479162,0.872222859905,0.0,0.00660156581122,0.000732332478945,6.35780256185e-18,1.04518318231e-10,1,0.0356345139444,0.0362521149218
14,IPROPOL,4.59692758216e-05,3.01598471499e-05,6.29533758662e-05,0.948127412801,0.0,0.00553796759299,0.0292932991578,2.9542347968e-18,1.51356166665e-13,22,0.025027718395,0.0124965012074
15,MACROH,0.000325828281061,8.37117673789e-05,0.00058593452375,0.926256750083,3.38248518902e-22,0.00558600779802,0.0322226290736,0.0,2.07661314597e-09,14,0.057888481766,0.0378979258239
16,MACROO,0.000184894663896,0.000164137898928,0.000207193696969,0.904292030306,5.74767852096e-21,0.00616692117405,0.00915415598682,1.07910338646e-09,7.98111600846e-09,1,0.0268532875925,0.0236357729882
17,ETHO2HNO3,4.47366269362e-05,2.87931429307e-05,6.18647428873e-05,0.937963753621,0.0,0.00744434133073,0.0,2.9542347968e-18,1.02286709165e-15,115,0.0522681251168,0.0125626344234
18,HMGLOOA,7.45611552157e-05,2.87932294455e-05,0.000123729727102,0.984870553394,1.83027591238e-21,0.00600567289271,0.00952032222629,2.9358945191e-11,4.06924750457e-10,3,0.0671776458621,0.00658431183547
19,CO24C4CHO,4.97362810436e-05,0.0,0.000103168064736,0.964187916568,0.0,0.00534980099652,0.0,1.19913789996e-18,3.61325076307e-10,0,0.0461515076458,0.00461257342249
20,HO2CO4C5O,6.88312779108e-05,5.9096349258e-05,7.92895307421e-05,0.957626073516,6.08360277607e-21,0.0149192738234,0.0216038081289,1.14292473175e-17,6.66949975435e-07,81,0.0523728691041,-0.00692076515406
21,HO3C5O,5.96514251078e-05,8.63798311485e-05,3.09370463876e-05,0.946398318995,0.0,0.0160095962313,0.0538264372025,6.91376155873e-18,0.0,23,0.0486783608794,0.0447806343436
22,MACRO2,0.0192489904049,0.0270853492396,0.0108303748307,0.952826188015,0.0,0.0300673470622,0.0377151226657,4.1108910896e-08,4.45957606365e-17,6,0.0687821283937,0.00634093210101
23,HO2CO4C5O2,0.000141596309811,0.000111212924987,0.000174237239365,0.960810289487,2.30265652893e-21,0.0237548791906,0.0732332478945,1.04239553524e-17,0.0,81,0.0720201656222,0.0163316670805
24,BUTALO,9.37118794968e-05,8.66853031086e-05,0.00010126054421,0.973156431693,0.0,0.0137116355744,0.0600512632735,1.23512465342e-14,3.33925132239e-11,,0.0286611840129,0.010802696459
25,ACO3H,4.78182339049e-05,3.4541563024e-05,6.2081387317e-05,0.983081337135,8.11352688891e-21,0.00874105977908,0.0,3.90632873766e-11,5.22419777435e-07,0,0.034859251231,0.0396124534309
26,BUT2OLAO,4.48344613259e-05,5.76091929476e-05,3.11105422386e-05,0.954577462158,7.73487226983e-22,0.0102405897672,0.00768949102893,5.2119776762e-18,3.27741080579e-11,25,0.0401209257543,0.0459453575313
27,PEAOOH,0.00012814233832,0.000162324325799,9.14205625284e-05,0.920181040287,0.0,0.0111287262581,0.0,5.2119776762e-18,0.0,26,0.0458723828197,0.0151905752718
28,INAHCO3,6.07220462741e-05,0.0,0.000125955858972,0.941906711985,0.0,0.00534980099652,0.0,2.39827579991e-18,2.00131468962e-15,116,0.0433296896517,0.043259754777
29,C4H9CHO,0.000128794011837,2.95577862724e-05,0.000235403682436,0.977986798483,0.0,0.00640209083001,0.154888319297,1.84231680303e-18,2.29936551052e-10,28,0.040915902704,0.0432593785226
30,NBUTOL,6.31646823756e-05,3.24173147228e-05,9.61966393913e-05,0.96231543693,0.0,0.00683689130129,0.0688392530209,0.0,6.38459414302e-18,49,0.0339280515909,0.00692436145619
31,C525OOH,0.00010556401271,0.000172885937556,3.32399375952e-05,0.911484467471,8.20615804107e-19,0.00924228599047,0.0,5.71462365877e-18,0.0,117,0.0519715845585,0.00441260449588
32,HO13C4O,6.51330684781e-05,5.79287753944e-05,7.28726545837e-05,0.969163536825,9.69459753065e-21,0.0128993919122,0.00878798974735,6.91376155873e-18,6.12973927246e-07,32,0.023585896939,0.0224533267319
33,ISOPAOOH,0.00112112403305,0.00103410485963,0.00121460890072,0.913412615954,0.0,0.0067437945169,0.000732332478945,6.35780256185e-18,2.70919207188e-11,1,0.044714089483,0.00527913589031
34,IPROPOLO,0.000875188621858,7.97456658701e-05,0.0017297345403,0.93425652058,0.0,0.0182535819305,0.0,3.40066761116e-17,1.45507059229e-05,2,0.056599535048,-0.00852044858038
