name,PAN,Carb. Acid,Per. Acid,Hydro peroxide,Nitrate,Aldehyde,Ketone,Alcohol,Alkoxy rad,Peroxalkyl rad,Peroxyacyl rad,No functional,nogroups
CH3COCH3,0,0,0,0,0,0,1,0,0,0,0,7,0
C811OOH,0,1,0,0,0,0,1,0,0,0,0,19,0
HO134C5,0,0,0,0,0,0,0,1,0,0,0,12,0
C84O,0,0,0,0,0,0,2,0,0,0,0,21,0
HO1C3OOH,0,0,0,1,0,0,0,0,0,0,0,6,0
C44O,0,1,0,0,0,1,1,0,0,0,0,16,0
PERPENACID,0,0,1,0,0,0,1,0,0,0,0,11,0
C33CO,0,0,0,0,0,2,1,0,0,0,0,11,0
H3C25CCO2H,0,0,0,0,0,0,3,1,0,0,0,23,0
C514O2,0,0,0,0,0,2,0,0,0,1,0,15,0
C4H9CO3,0,1,0,0,0,0,1,0,0,0,1,13,0
HO2C4CO2H,0,1,0,0,0,0,1,1,0,0,0,13,0
C812OH,0,1,0,0,0,0,1,0,0,0,0,21,0
C109OH,0,0,0,0,0,1,1,0,0,0,0,21,0
IC3H7O,0,0,0,0,0,0,0,0,0,0,0,8,0
NC101CO,0,0,0,0,0,0,1,0,0,0,0,26,0
C107O2,0,0,0,0,0,1,1,0,0,1,0,26,0
C44O2,0,1,0,0,0,1,1,0,0,1,0,17,0
HOC4H8OH,0,0,0,0,0,0,0,0,0,0,0,6,0
C811O2,0,1,0,0,0,0,1,0,0,0,0,21,0
C721O2,0,1,0,0,0,0,1,0,0,0,0,20,0
HOCH2CHO,0,0,0,0,0,1,0,0,0,0,0,5,0
NORPINAL,0,0,0,0,0,1,1,0,0,0,0,19,0
H3C2C4CO2H,0,0,0,0,0,0,2,1,0,0,0,17,0
C3H7CHO,0,0,0,0,0,1,0,0,0,0,0,6,0
CO235C6O,0,0,0,0,0,0,3,0,0,0,0,21,0
C921O,0,0,0,0,0,0,1,0,0,0,0,24,0
H3C25C6PAN,0,0,0,0,1,1,2,1,0,0,0,31,0
HO13C5,0,0,0,0,0,0,0,1,0,0,0,9,0
CO2C4CHO,0,0,0,0,0,1,1,0,0,0,0,11,0
HO3C86OOH,0,0,0,0,0,0,0,1,0,0,0,15,0
C811CO3,0,2,0,0,0,0,2,0,0,0,0,26,0
C98OH,0,0,0,0,0,0,2,0,0,0,0,25,0
C716O2,0,0,0,0,0,1,2,0,0,1,0,23,0
PEANO3,0,0,0,0,1,0,0,0,0,0,0,13,0
HCOCH2CO3,0,1,0,0,0,1,1,0,0,0,0,13,0
HYPROPO2H,0,0,0,0,0,0,0,0,0,0,0,8,0
C5OHCO4OOH,0,0,0,0,0,0,1,0,0,0,0,14,0
C96OH,0,0,0,0,0,0,1,0,0,0,0,18,0
