name,Unnamed: 0,name,smiles,inchi
OXYL,4236,OXYL,Cc1ccccc1C,"InChI=1S/C8H10/c1-7-5-3-4-6-8(7)2/h3-6H,1-2H3"
SO3,4245,SO3,,
BUT1ENE,4251,BUT1ENE,CCC=C,"InChI=1S/C4H8/c1-3-4-2/h3H,1,4H2,2H3"
CHCL3,4284,CHCL3,ClC(Cl)Cl,InChI=1S/CHCl3/c2-1(3)4/h1H
N2O5,4311,N2O5,,
,674,,,
,4322,,,
,4440,,,
,4445,,,
,4806,,,
,4903,,,
,4905,,,
,4989,,,
,5083,,,
,5085,,,
,5087,,,
,5093,,,
,5175,,,
,5347,,,
,5438,,,
,5614,,,
,5799,,,
M22C4O,4329,M22C4O,[O]CCC(C)(C)C,"InChI=1S/C6H13O/c1-6(2,3)4-5-7/h4-5H2,1-3H3"
NC9H20,4366,NC9H20,CCCCCCCCC,"InChI=1S/C9H20/c1-3-5-7-9-8-6-4-2/h3-9H2,1-2H3"
CH2CHCH2O,4394,CH2CHCH2O,[O]CC=C,"InChI=1S/C3H5O/c1-2-3-4/h2H,1,3H2"
NC3H7O,4401,NC3H7O,CCC[O],"InChI=1S/C3H7O/c1-2-3-4/h2-3H2,1H3"
BENZENE,4402,BENZENE,c1ccccc1,InChI=1S/C6H6/c1-2-4-6-5-3-1/h1-6H
,674,,,
,4322,,,
,4440,,,
,4445,,,
,4806,,,
,4903,,,
,4905,,,
,4989,,,
,5083,,,
,5085,,,
,5087,,,
,5093,,,
,5175,,,
,5347,,,
,5438,,,
,5614,,,
,5799,,,
,674,,,
,4322,,,
,4440,,,
,4445,,,
,4806,,,
,4903,,,
,4905,,,
,4989,,,
,5083,,,
,5085,,,
,5087,,,
,5093,,,
,5175,,,
,5347,,,
,5438,,,
,5614,,,
,5799,,,
CH4,4470,CH4,C,InChI=1S/CH4/h1H4
CHEXO,4504,CHEXO,[O]C1CCCCC1,"InChI=1S/C6H11O/c7-6-4-2-1-3-5-6/h6H,1-5H2"
OET1O,4582,OET1O,CCc1c(C)cccc1[O],"InChI=1S/C9H11O/c1-3-8-7(2)5-4-6-9(8)10/h4-6H,3H2,1-2H3"
M3HEX,4604,M3HEX,CCCC(C)CC,"InChI=1S/C7H16/c1-4-6-7(3)5-2/h7H,4-6H2,1-3H3"
H2,4667,H2,,
M3F,4669,M3F,Cc1cocc1,"InChI=1S/C5H6O/c1-5-2-3-6-4-5/h2-4H,1H3"
HEXAO,4737,HEXAO,CCCCCC[O],"InChI=1S/C6H13O/c1-2-3-4-5-6-7/h2-6H2,1H3"
NC5H12,4743,NC5H12,CCCCC,"InChI=1S/C5H12/c1-3-5-4-2/h3-5H2,1-2H3"
ETBECO,4774,ETBECO,[O]CCOC(C)(C)C,"InChI=1S/C6H13O2/c1-6(2,3)8-5-4-7/h4-5H2,1-3H3"
,674,,,
,4322,,,
,4440,,,
,4445,,,
,4806,,,
,4903,,,
,4905,,,
,4989,,,
,5083,,,
,5085,,,
,5087,,,
,5093,,,
,5175,,,
,5347,,,
,5438,,,
,5614,,,
,5799,,,
CH3SO2,4859,CH3SO2,C[S](=O)=O,"InChI=1S/CH4O2S/c1-4(2)3/h4H,1H3"
HSO3,4890,HSO3,,
,674,,,
,4322,,,
,4440,,,
,4445,,,
,4806,,,
,4903,,,
,4905,,,
,4989,,,
,5083,,,
,5085,,,
,5087,,,
,5093,,,
,5175,,,
,5347,,,
,5438,,,
,5614,,,
,5799,,,
,674,,,
,4322,,,
,4440,,,
,4445,,,
,4806,,,
,4903,,,
,4905,,,
,4989,,,
,5083,,,
,5085,,,
,5087,,,
,5093,,,
,5175,,,
,5347,,,
,5438,,,
,5614,,,
,5799,,,
CHCL2O,4941,CHCL2O,[O]C(Cl)Cl,InChI=1S/CHCl2O/c2-1(3)4/h1H
CH2CL3O2,4961,CH2CL3O2,ClCC(Cl)(Cl)O[O],"InChI=1S/C2H2Cl3O2/c3-1-2(4,5)7-6/h1H2"
,674,,,
,4322,,,
,4440,,,
,4445,,,
,4806,,,
,4903,,,
,4905,,,
,4989,,,
,5083,,,
,5085,,,
,5087,,,
,5093,,,
,5175,,,
,5347,,,
,5438,,,
,5614,,,
,5799,,,
NC10H22,4991,NC10H22,CCCCCCCCCC,"InChI=1S/C10H22/c1-3-5-7-9-10-8-6-4-2/h3-10H2,1-2H3"
CL12PRCO,5018,CL12PRCO,[O]C(Cl)C(C)Cl,"InChI=1S/C3H5Cl2O/c1-2(4)3(5)6/h2-3H,1H3"
,674,,,
,4322,,,
,4440,,,
,4445,,,
,4806,,,
,4903,,,
,4905,,,
,4989,,,
,5083,,,
,5085,,,
,5087,,,
,5093,,,
,5175,,,
,5347,,,
,5438,,,
,5614,,,
,5799,,,
,674,,,
,4322,,,
,4440,,,
,4445,,,
,4806,,,
,4903,,,
,4905,,,
,4989,,,
,5083,,,
,5085,,,
,5087,,,
,5093,,,
,5175,,,
,5347,,,
,5438,,,
,5614,,,
,5799,,,
,674,,,
,4322,,,
,4440,,,
,4445,,,
,4806,,,
,4903,,,
,4905,,,
,4989,,,
,5083,,,
,5085,,,
,5087,,,
,5093,,,
,5175,,,
,5347,,,
,5438,,,
,5614,,,
,5799,,,
,674,,,
,4322,,,
,4440,,,
,4445,,,
,4806,,,
,4903,,,
,4905,,,
,4989,,,
,5083,,,
,5085,,,
,5087,,,
,5093,,,
,5175,,,
,5347,,,
,5438,,,
,5614,,,
,5799,,,
,674,,,
,4322,,,
,4440,,,
,4445,,,
,4806,,,
,4903,,,
,4905,,,
,4989,,,
,5083,,,
,5085,,,
,5087,,,
,5093,,,
,5175,,,
,5347,,,
,5438,,,
,5614,,,
,5799,,,
LIMONENE,5188,LIMONENE,CC1=CCC(CC1)C(=C)C,"InChI=1S/C10H16/c1-8(2)10-6-4-9(3)5-7-10/h4,10H,1,5-7H2,2-3H3"
IPBENZ,5213,IPBENZ,CC(C)c1ccccc1,"InChI=1S/C9H12/c1-8(2)9-6-4-3-5-7-9/h3-8H,1-2H3"
PET1O,5224,PET1O,CCc1ccc(C)cc1[O],"InChI=1S/C9H11O/c1-3-8-5-4-7(2)6-9(8)10/h4-6H,3H2,1-2H3"
CL12PRAO,5241,CL12PRAO,[O]CC(Cl)CCl,"InChI=1S/C3H5Cl2O/c4-1-3(5)2-6/h3H,1-2H2"
CHCL2CH3,5255,CHCL2CH3,CC(Cl)Cl,"InChI=1S/C2H4Cl2/c1-2(3)4/h2H,1H3"
CH2BRO,5318,CH2BRO,[O]CBr,InChI=1S/CH2BrO/c2-1-3/h1H2
CH2CLCHCL2,5345,CH2CLCHCL2,ClCC(Cl)Cl,"InChI=1S/C2H3Cl3/c3-1-2(4)5/h2H,1H2"
,674,,,
,4322,,,
,4440,,,
,4445,,,
,4806,,,
,4903,,,
,4905,,,
,4989,,,
,5083,,,
,5085,,,
,5087,,,
,5093,,,
,5175,,,
,5347,,,
,5438,,,
,5614,,,
,5799,,,
TPENT2ENE,5348,TPENT2ENE,CC\C=C\C,"InChI=1S/C5H10/c1-3-5-4-2/h3,5H,4H2,1-2H3/b5-3+"
CDICLETH,5383,CDICLETH,Cl/C=C\Cl,InChI=1S/C2H2Cl2/c3-1-2-4/h1-2H/b2-1-
CH2CLCH2O,5401,CH2CLCH2O,[O]CCCl,InChI=1S/C2H4ClO/c3-1-2-4/h1-2H2
TRICLETH,5404,TRICLETH,ClC=C(Cl)Cl,InChI=1S/C2HCl3/c3-1-2(4)5/h1H
M23C4O,5411,M23C4O,[O]CC(C)C(C)C,"InChI=1S/C6H13O/c1-5(2)6(3)4-7/h5-6H,4H2,1-3H3"
,674,,,
,4322,,,
,4440,,,
,4445,,,
,4806,,,
,4903,,,
,4905,,,
,4989,,,
,5083,,,
,5085,,,
,5087,,,
,5093,,,
,5175,,,
,5347,,,
,5438,,,
,5614,,,
,5799,,,
C4H6,5439,C4H6,C=CC=C,"InChI=1S/C4H6/c1-3-4-2/h3-4H,1-2H2"
PBENZ,5583,PBENZ,CCCc1ccccc1,"InChI=1S/C9H12/c1-2-6-9-7-4-3-5-8-9/h3-5,7-8H,2,6H2,1H3"
CH3CHCLO2,5587,CH3CHCLO2,CC(Cl)O[O],"InChI=1S/C2H4ClO2/c1-2(3)5-4/h2H,1H3"
BCARY,5593,BCARY,C/C1=C/CCC(=C)C2CC(C)(C)C2CC\1,"InChI=1S/C15H24/c1-11-6-5-7-12(2)13-10-15(3,4)14(13)9-8-11/h6,13-14H,2,5,7-10H2,1,3-4H3/b11-6-"
,674,,,
,4322,,,
,4440,,,
,4445,,,
,4806,,,
,4903,,,
,4905,,,
,4989,,,
,5083,,,
,5085,,,
,5087,,,
,5093,,,
,5175,,,
,5347,,,
,5438,,,
,5614,,,
,5799,,,
NC6H14,5641,NC6H14,CCCCCC,"InChI=1S/C6H14/c1-3-5-6-4-2/h3-6H2,1-2H3"
C5H8,5642,C5H8,C=CC(=C)C,"InChI=1S/C5H8/c1-4-5(2)3/h4H,1-2H2,3H3"
MXYL,5681,MXYL,Cc1cccc(C)c1,"InChI=1S/C8H10/c1-7-4-3-5-8(2)6-7/h3-6H,1-2H3"
CHEX2ENE,5764,CHEX2ENE,CCC/C=C\C,"InChI=1S/C6H12/c1-3-5-6-4-2/h3,5H,4,6H2,1-2H3/b5-3-"
C8BC,5769,C8BC,CC1(C)C2CCC1C2,"InChI=1S/C8H14/c1-8(2)6-3-4-7(8)5-6/h6-7H,3-5H2,1-2H3"
,674,,,
,4322,,,
,4440,,,
,4445,,,
,4806,,,
,4903,,,
,4905,,,
,4989,,,
,5083,,,
,5085,,,
,5087,,,
,5093,,,
,5175,,,
,5347,,,
,5438,,,
,5614,,,
,5799,,,
